,No Data Pre Processing,No Data Pre Processing,No Data Pre Processing,No Data Pre Processing,Normalized-zscore,Normalized-zscore,Normalized-zscore,Normalized-zscore,Normalized-minmax,Normalized-minmax,Normalized-minmax,Normalized-minmax,Normalized-maxabs,Normalized-maxabs,Normalized-maxabs,Normalized-maxabs,PCA-linear,PCA-linear,PCA-linear,PCA-linear,PCA-incremental,PCA-incremental,PCA-incremental,PCA-incremental,tranformation-yeo,tranformation-yeo,tranformation-yeo,tranformation-yeo,transformation-quantile,transformation-quantile,transformation-quantile,transformation-quantile,Normalized-zscore + tranformation-yeo,Normalized-zscore + tranformation-yeo,Normalized-zscore + tranformation-yeo,Normalized-zscore + tranformation-yeo,Normalized-zscore + PCA-linear,Normalized-zscore + PCA-linear,Normalized-zscore + PCA-linear,Normalized-zscore + PCA-linear,Normalized-zscore + tranformation-yeo + PCA-linear,Normalized-zscore + tranformation-yeo + PCA-linear,Normalized-zscore + tranformation-yeo + PCA-linear,Normalized-zscore + tranformation-yeo + PCA-linear
,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6
Silhouette,0.234,0.234,0.234,0.234,0.2627,0.2627,0.2627,0.2627,0.461,0.461,0.461,0.461,0.295,0.295,0.295,0.295,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.234,0.2777,0.2777,0.2777,0.2777,0.362,0.362,0.362,0.362,0.1568,0.1568,0.1568,0.1568,0.2627,0.2627,0.2627,0.2627,0.1568,0.1568,0.1568,0.1568
Calinski-Harabasz,196.8248,196.8248,196.8248,196.8248,114.3427,114.3427,114.3427,114.3427,785.3246,785.3246,785.3246,785.3246,291.7248,291.7248,291.7248,291.7248,196.8248,196.8248,196.8248,196.8248,196.8248,196.8248,196.8248,196.8248,11338.091,11338.091,11338.091,11338.091,605.0139,605.0139,605.0139,605.0139,49.3278,49.3278,49.3278,49.3278,114.3427,114.3427,114.3427,114.3427,49.3278,49.3278,49.3278,49.3278
Davies-Bouldin,0.7978,0.7978,0.7978,0.7978,0.8759,0.8759,0.8759,0.8759,0.7936,0.7936,0.7936,0.7936,0.863,0.863,0.863,0.863,0.7978,0.7978,0.7978,0.7978,0.7978,0.7978,0.7978,0.7978,1.0484,1.0484,1.0484,1.0484,1.075,1.075,1.075,1.075,1.3876,1.3876,1.3876,1.3876,0.8759,0.8759,0.8759,0.8759,1.3876,1.3876,1.3876,1.3876
