,No Data Pre Processing,No Data Pre Processing,No Data Pre Processing,No Data Pre Processing,Normalized-zscore,Normalized-zscore,Normalized-zscore,Normalized-zscore,Normalized-minmax,Normalized-minmax,Normalized-minmax,Normalized-minmax,Normalized-maxabs,Normalized-maxabs,Normalized-maxabs,Normalized-maxabs,PCA-linear,PCA-linear,PCA-linear,PCA-linear,PCA-incremental,PCA-incremental,PCA-incremental,PCA-incremental,tranformation-yeo,tranformation-yeo,tranformation-yeo,tranformation-yeo,tranformation-quantile,tranformation-quantile,tranformation-quantile,tranformation-quantile,Normalized-zscore + tranformation-yeo,Normalized-zscore + tranformation-yeo,Normalized-zscore + tranformation-yeo,Normalized-zscore + tranformation-yeo,Normalized-zscore + PCA-linear,Normalized-zscore + PCA-linear,Normalized-zscore + PCA-linear,Normalized-zscore + PCA-linear,Normalized-zscore + tranformation-yeo + PCA-linear,Normalized-zscore + tranformation-yeo + PCA-linear,Normalized-zscore + tranformation-yeo + PCA-linear,Normalized-zscore + tranformation-yeo + PCA-linear
,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6
Silhouette,-0.1533,-0.1724,-0.3328,-0.3379,-0.1517,-0.2384,-0.266,-0.2679,-0.224,-0.3124,-0.317,-0.3259,-0.2024,-0.2709,-0.2731,-0.2808,-0.2789,-0.444,-0.4868,-0.5069,-0.2789,-0.444,-0.4868,-0.5069,-0.5443,-0.5457,-0.5466,-0.5477,-0.0488,-0.2361,-0.2413,-0.2479,-0.0639,-0.1166,-0.1558,-0.1577,-0.1245,-0.4155,-0.4169,-0.4184,-0.1091,-0.3358,-0.3362,-0.3456
Calinski-Harabasz,0.5038,0.5839,0.5951,0.5771,0.5789,0.6831,0.7026,0.6896,0.5981,0.809,0.8891,0.8979,0.6575,0.7718,0.7931,0.7807,0.1768,0.1669,0.2139,0.1861,0.1768,0.1669,0.2139,0.1861,1.1146,0.7723,0.5796,0.4798,1.4918,1.4381,1.3523,1.2762,2.3703,2.1855,1.8494,1.6891,0.681,0.5404,0.5596,0.5221,0.8796,0.7483,0.7982,0.737
Davies-Bouldin,4.9609,5.9361,5.9567,10.786,4.4307,4.2668,4.9013,5.5008,5.8024,5.0245,5.3345,6.7372,5.322,4.7802,5.1674,6.4171,1.9781,1.9873,1.85,2.1047,1.9781,1.9873,1.85,2.1047,6.0293,7.8809,21.971,26.9514,5.5042,4.8131,5.2416,6.0608,4.3832,4.0232,4.4348,4.3835,1.1667,1.3453,1.2846,1.2943,1.113,1.2117,1.1639,1.196
