,No Data Pre Processing,No Data Pre Processing,No Data Pre Processing,No Data Pre Processing,Normalized-zscore,Normalized-zscore,Normalized-zscore,Normalized-zscore,Normalized-minmax,Normalized-minmax,Normalized-minmax,Normalized-minmax,Normalized-maxabs,Normalized-maxabs,Normalized-maxabs,Normalized-maxabs,PCA-linear,PCA-linear,PCA-linear,PCA-linear,PCA-incremental,PCA-incremental,PCA-incremental,PCA-incremental,tranformation-yeo,tranformation-yeo,tranformation-yeo,tranformation-yeo,tranformation-quantile,tranformation-quantile,tranformation-quantile,tranformation-quantile,Normalized-zscore + tranformation-yeo,Normalized-zscore + tranformation-yeo,Normalized-zscore + tranformation-yeo,Normalized-zscore + tranformation-yeo,Normalized-zscore + PCA-linear,Normalized-zscore + PCA-linear,Normalized-zscore + PCA-linear,Normalized-zscore + PCA-linear,Normalized-zscore + tranformation-yeo + PCA-linear,Normalized-zscore + tranformation-yeo + PCA-linear,Normalized-zscore + tranformation-yeo + PCA-linear,Normalized-zscore + tranformation-yeo + PCA-linear
,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6,c=3,c=4,c=5,c=6
Silhouette,0.4784,0.3866,0.3833,0.3866,0.3568,0.3683,0.3529,0.3572,0.6593,0.68,0.6468,0.6535,0.5545,0.5799,0.5885,0.535,0.4798,0.3866,0.3866,0.3751,0.4784,0.3866,0.3706,0.3853,0.8554,0.5181,0.4635,0.4158,0.6085,0.6377,0.5586,0.4009,0.2228,0.2472,0.2184,0.2033,0.3568,0.3482,0.3688,0.3537,0.2228,0.2476,0.2187,0.2013
Calinski-Harabasz,210.1526,207.8197,215.0578,207.8197,139.3494,131.5821,137.9523,144.7005,760.0331,877.9768,825.8484,831.3299,383.8222,357.2453,352.1927,344.6292,210.148,207.8197,214.1993,205.7447,210.1526,207.8197,214.535,203.1944,13039.7633,15162.6315,14221.556,13907.87,747.5305,899.6002,792.4932,724.211,153.5484,136.3349,121.2396,111.1239,139.3494,130.9179,138.3391,145.6033,153.5484,136.3494,121.1591,111.088
Davies-Bouldin,0.8895,0.9543,0.902,0.9543,1.1736,1.1454,1.1481,0.8788,0.5097,0.611,0.5923,0.6337,0.7116,0.8165,0.752,0.8882,0.8889,0.9543,0.8873,0.8519,0.8895,0.9543,0.9108,0.8514,0.3389,0.6203,0.6936,0.7501,0.559,0.5808,0.7147,0.9993,1.6406,1.4208,1.585,1.5945,1.1736,1.2359,1.0586,0.9748,1.6406,1.4215,1.5847,1.6011
